SampleID	FlyBatchID	MetaboliteBatchID	SampleName	TreatmentID	TreatmentLabel	Treatment
38B	2	3	w1118_FD_Body_9	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
39B	2	3	w1118_FD_Body_10	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
40B	2	3	w1118_FD2CD_Body_1	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
41B	1	1	w1118_FD2CD_Body_2	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
42B	1	1	w1118_FD2CD_Body_3	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
43B	1	1	w1118_FD2CD_Body_4	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
44B	1	2	w1118_FD2CD_Body_5	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
45B	1	2	w1118_FD2CD_Body_6	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
46B	2	2	w1118_FD2CD_Body_7	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
47B	2	2	w1118_FD2CD_Body_8	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
48B	2	3	w1118_FD2CD_Body_9	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
49B	2	3	w1118_FD2CD_Body_10	4	w1118_FD2CD_Body	30-50 bodies from w1118 males by fixed diet switched to choice diet
50B	2	3	5-HT2A_CD_Body_1	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
51B	1	1	5-HT2A_CD_Body_2	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
52B	1	1	5-HT2A_CD_Body_3	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
53B	1	1	5-HT2A_CD_Body_4	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
54B	1	2	5-HT2A_CD_Body_5	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
55B	1	2	5-HT2A_CD_Body_6	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
56B	2	2	5-HT2A_CD_Body_7	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
57B	2	2	5-HT2A_CD_Body_8	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
58B	2	3	5-HT2A_CD_Body_9	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
59B	2	3	5-HT2A_CD_Body_10	5	5-HT2A_CD_Body	30-50 bodies from 5-HT2A males by choice diet
60B	2	3	5-HT2A_CD2FD_Body_1	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
61B	1	1	5-HT2A_CD2FD_Body_2	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
62B	1	1	5-HT2A_CD2FD_Body_3	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
63B	1	1	5-HT2A_CD2FD_Body_4	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
64B	1	2	5-HT2A_CD2FD_Body_5	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
65B	1	2	5-HT2A_CD2FD_Body_6	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
66B	2	2	5-HT2A_CD2FD_Body_7	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
67B	2	2	5-HT2A_CD2FD_Body_8	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
68B	2	3	5-HT2A_CD2FD_Body_9	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
69B	2	3	5-HT2A_CD2FD_Body_10	6	5-HT2A_CD2FD_Body	30-50 bodies from 5-HT2A males by choice diet switched to fixed diet
70B	2	3	5-HT2A_FD_Body_1	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
71B	1	1	5-HT2A_FD_Body_2	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
72B	1	1	5-HT2A_FD_Body_3	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
73B	1	1	5-HT2A_FD_Body_4	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
74B	1	2	5-HT2A_FD_Body_5	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
75B	1	2	5-HT2A_FD_Body_6	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
76B	2	2	5-HT2A_FD_Body_7	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
77B	2	2	5-HT2A_FD_Body_8	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
78B	2	3	5-HT2A_FD_Body_9	7	5-HT2A_FD_Body	30-50 bodies from 5-HT2A males by fixed diet
80B	2	3	5-HT2A_FD2CD_Body_1	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
81B	1	1	5-HT2A_FD2CD_Body_2	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
82B	1	1	5-HT2A_FD2CD_Body_3	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
83B	1	1	5-HT2A_FD2CD_Body_4	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
84B	1	1	5-HT2A_FD2CD_Body_5	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
85B	1	2	5-HT2A_FD2CD_Body_6	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
86B	2	2	5-HT2A_FD2CD_Body_7	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
87B	2	2	5-HT2A_FD2CD_Body_8	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
88B	2	2	5-HT2A_FD2CD_Body_9	8	5-HT2A_FD2CD_Body	30-50 bodies from 5-HT2A males by fixed diet switched to choice diet
