SampleID	FlyBatchID	MetaboliteBatchID	SampleName	TreatmentID	TreatmentName	Treatment
30H	2	3	w1118_FD_Head_1	3	w1118_FD	30-50 heads from w1118 males by fixed diet
31H	1	1	w1118_FD_Head_2	3	w1118_FD	30-50 heads from w1118 males by fixed diet
32H	1	1	w1118_FD_Head_3	3	w1118_FD	30-50 heads from w1118 males by fixed diet
33H	1	1	w1118_FD_Head_4	3	w1118_FD	30-50 heads from w1118 males by fixed diet
34H	1	2	w1118_FD_Head_5	3	w1118_FD	30-50 heads from w1118 males by fixed diet
35H	1	2	w1118_FD_Head_6	3	w1118_FD	30-50 heads from w1118 males by fixed diet
36H	2	2	w1118_FD_Head_7	3	w1118_FD	30-50 heads from w1118 males by fixed diet
37H	2	2	w1118_FD_Head_8	3	w1118_FD	30-50 heads from w1118 males by fixed diet
38H	2	3	w1118_FD_Head_9	3	w1118_FD	30-50 heads from w1118 males by fixed diet
39H	2	3	w1118_FD_Head_10	3	w1118_FD	30-50 heads from w1118 males by fixed diet
40H	2	3	w1118_FD2CD_Head_1	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
41H	1	1	w1118_FD2CD_Head_2	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
42H	1	1	w1118_FD2CD_Head_3	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
43H	1	1	w1118_FD2CD_Head_4	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
44H	1	2	w1118_FD2CD_Head_5	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
45H	1	2	w1118_FD2CD_Head_6	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
46H	2	2	w1118_FD2CD_Head_7	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
47H	2	2	w1118_FD2CD_Head_8	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
48H	2	3	w1118_FD2CD_Head_9	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
49H	2	3	w1118_FD2CD_Head_10	4	w1118_FD2CD	30-50 heads from w1118 males by fixed diet switched to choice diet
50H	2	3	5-HT2A_CD_Head_1	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
51H	1	1	5-HT2A_CD_Head_2	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
52H	1	1	5-HT2A_CD_Head_3	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
53H	1	1	5-HT2A_CD_Head_4	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
54H	1	2	5-HT2A_CD_Head_5	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
55H	1	2	5-HT2A_CD_Head_6	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
56H	2	2	5-HT2A_CD_Head_7	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
57H	2	2	5-HT2A_CD_Head_8	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
58H	2	3	5-HT2A_CD_Head_9	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
59H	2	3	5-HT2A_CD_Head_10	5	5-HT2A_CD	30-50 heads from 5-HT2A males by choice diet
60H	2	3	5-HT2A_CD2FD_Head_1	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
61H	1	1	5-HT2A_CD2FD_Head_2	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
62H	1	1	5-HT2A_CD2FD_Head_3	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
63H	1	1	5-HT2A_CD2FD_Head_4	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
64H	1	2	5-HT2A_CD2FD_Head_5	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
65H	1	2	5-HT2A_CD2FD_Head_6	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
66H	2	2	5-HT2A_CD2FD_Head_7	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
67H	2	2	5-HT2A_CD2FD_Head_8	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
68H	2	3	5-HT2A_CD2FD_Head_9	6	5-HT2A_CD2FD	30-50 heads from 5-HT2A males by choice diet switched to fixed diet
70H	2	3	5-HT2A_FD_Head_1	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
71H	1	1	5-HT2A_FD_Head_2	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
72H	1	1	5-HT2A_FD_Head_3	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
73H	1	1	5-HT2A_FD_Head_4	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
74H	1	2	5-HT2A_FD_Head_5	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
75H	1	2	5-HT2A_FD_Head_6	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
76H	2	2	5-HT2A_FD_Head_7	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
77H	2	2	5-HT2A_FD_Head_8	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
78H	2	3	5-HT2A_FD_Head_9	7	5-HT2A_FD	30-50 heads from 5-HT2A males by fixed diet
80H	2	3	5-HT2A_FD2CD_Head_1	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
81H	1	1	5-HT2A_FD2CD_Head_2	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
82H	1	1	5-HT2A_FD2CD_Head_3	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
83H	1	1	5-HT2A_FD2CD_Head_4	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
84H	1	2	5-HT2A_FD2CD_Head_5	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
85H	1	2	5-HT2A_FD2CD_Head_6	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
86H	2	2	5-HT2A_FD2CD_Head_7	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
87H	2	2	5-HT2A_FD2CD_Head_8	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
88H	2	3	5-HT2A_FD2CD_Head_9	8	5-HT2A_FD2CD	30-50 heads from 5-HT2A males by fixed diet switched to choice diet
